feature,importance
hour,4009
num_chars,3453
weekday,2737
month,1724
sbert_14,1328
sbert_136,1208
word_count,1167
sbert_317,1104
sbert_160,1091
sbert_165,1070
num_stop_words,1052
sbert_0,1045
sbert_220,1041
sbert_99,1011
sbert_263,998
sbert_208,991
sbert_92,991
sbert_319,979
sbert_284,973
sbert_224,968
sbert_228,963
sbert_272,958
sbert_174,958
sbert_59,944
sbert_358,943
sbert_131,942
sbert_57,937
sbert_71,934
sbert_119,923
sbert_337,920
sbert_143,919
sbert_113,911
sbert_73,910
sbert_227,906
sbert_261,905
sbert_364,904
sbert_330,898
sbert_5,896
sbert_115,896
sbert_354,890
sbert_28,888
sbert_85,888
sbert_232,887
sbert_82,885
sbert_245,885
sbert_39,883
sbert_267,882
sbert_123,874
sbert_114,870
sbert_340,869
sbert_122,864
sbert_238,862
sbert_297,862
sbert_335,860
sbert_215,858
sbert_239,857
sbert_299,857
sbert_138,851
sbert_296,846
sbert_332,846
sbert_145,845
sbert_324,844
sbert_16,843
sbert_233,842
sbert_63,840
sbert_300,837
sbert_55,834
sbert_27,829
sbert_247,827
sbert_166,824
sbert_309,823
sbert_125,823
sbert_353,822
sbert_181,822
sbert_54,816
sbert_200,815
sbert_18,815
sbert_146,814
sbert_24,814
sbert_78,813
sbert_95,812
sbert_375,812
sbert_175,812
sbert_274,810
sbert_291,808
sbert_20,808
sbert_130,805
sbert_304,802
sbert_69,801
sbert_223,800
sbert_167,800
sbert_376,798
sbert_4,797
sbert_60,795
sbert_260,794
sbert_266,794
sbert_235,794
sbert_301,793
sbert_295,792
sbert_381,792
sbert_117,790
sbert_311,790
sbert_378,789
sbert_88,789
sbert_2,787
sbert_164,786
sbert_153,783
sbert_315,780
sbert_12,780
sbert_84,779
sbert_338,779
sbert_75,778
sbert_333,777
sbert_148,777
sbert_65,777
sbert_139,776
sbert_83,771
sbert_97,770
sbert_270,770
sbert_314,770
sbert_342,768
sbert_112,766
sbert_285,766
sbert_147,766
sbert_212,765
sbert_76,763
sbert_207,763
sbert_193,763
sbert_142,763
sbert_308,762
sbert_17,762
sbert_118,760
sbert_374,760
sbert_169,759
sbert_206,759
sbert_29,759
sbert_230,758
sbert_231,758
sbert_372,757
sbert_255,756
sbert_356,755
sbert_23,755
sbert_283,755
sbert_100,755
sbert_252,754
sbert_307,753
sbert_257,752
sbert_109,752
sbert_64,751
sbert_21,750
sbert_11,749
sbert_185,748
sbert_329,746
sbert_251,745
sbert_34,745
sbert_382,744
sbert_383,743
sbert_316,742
sbert_287,741
sbert_355,741
sbert_67,741
sbert_225,739
sbert_209,738
sbert_298,738
sbert_334,737
sbert_180,737
sbert_348,737
sbert_77,736
sbert_253,735
sbert_171,735
sbert_126,734
sbert_331,733
sbert_279,733
sbert_379,732
sbert_303,731
sbert_155,731
sbert_273,731
sbert_205,731
sbert_110,730
sbert_243,730
sbert_128,727
sbert_47,727
sbert_81,726
sbert_111,726
sbert_179,725
sbert_49,724
sbert_90,724
sbert_199,724
sbert_346,724
sbert_249,723
sbert_214,721
sbert_203,719
sbert_8,718
sbert_344,718
sbert_196,717
sbert_326,716
sbert_120,716
sbert_103,715
sbert_256,715
sbert_176,714
sbert_234,713
sbert_129,711
sbert_121,710
sbert_98,710
sbert_79,710
sbert_349,709
sbert_70,709
sbert_194,709
sbert_371,709
sbert_134,707
sbert_367,706
sbert_80,704
sbert_15,702
sbert_211,700
