feature,importance
hour,6497
num_chars,5407
weekday,3721
month,2655
word_count,2429
sbert_14,1851
num_stop_words,1817
sbert_136,1768
sbert_317,1599
sbert_99,1517
sbert_319,1513
sbert_263,1512
sbert_220,1510
sbert_160,1473
sbert_165,1463
sbert_57,1420
sbert_284,1403
sbert_358,1401
sbert_224,1391
sbert_59,1378
sbert_71,1361
sbert_261,1360
sbert_0,1360
sbert_245,1354
sbert_223,1353
sbert_272,1343
sbert_131,1339
sbert_340,1333
sbert_267,1333
sbert_208,1329
sbert_330,1312
sbert_92,1301
sbert_335,1290
sbert_122,1280
sbert_227,1280
sbert_228,1266
sbert_115,1266
sbert_113,1256
sbert_82,1245
sbert_85,1245
sbert_39,1242
sbert_185,1241
sbert_174,1240
sbert_143,1233
sbert_238,1230
sbert_123,1215
sbert_274,1208
sbert_232,1208
sbert_69,1205
sbert_28,1204
sbert_126,1204
sbert_297,1200
sbert_63,1199
sbert_364,1195
sbert_73,1194
sbert_354,1187
sbert_260,1176
sbert_167,1172
sbert_337,1166
sbert_55,1164
sbert_334,1156
sbert_166,1155
sbert_296,1154
sbert_145,1150
sbert_304,1144
sbert_130,1143
sbert_54,1141
sbert_291,1141
sbert_5,1137
sbert_299,1131
sbert_16,1128
sbert_181,1126
sbert_119,1125
sbert_200,1124
sbert_301,1121
sbert_20,1119
sbert_239,1118
sbert_247,1117
sbert_333,1115
sbert_225,1111
sbert_338,1111
sbert_146,1105
sbert_97,1104
sbert_24,1104
sbert_309,1102
sbert_300,1099
sbert_29,1097
sbert_117,1095
sbert_215,1093
sbert_332,1087
sbert_49,1085
sbert_138,1082
sbert_353,1080
sbert_266,1078
sbert_4,1078
sbert_142,1077
sbert_346,1076
sbert_376,1075
sbert_98,1074
sbert_207,1074
sbert_180,1072
sbert_287,1070
sbert_75,1068
sbert_315,1068
sbert_249,1066
sbert_193,1065
sbert_382,1065
sbert_139,1063
sbert_34,1062
sbert_18,1061
sbert_45,1056
sbert_125,1055
sbert_379,1054
sbert_114,1053
sbert_252,1050
sbert_118,1049
sbert_295,1049
sbert_270,1048
sbert_307,1047
sbert_250,1047
sbert_100,1044
sbert_356,1043
sbert_251,1043
sbert_164,1043
sbert_8,1042
sbert_2,1041
sbert_95,1040
sbert_363,1038
sbert_77,1037
sbert_196,1035
sbert_381,1034
sbert_175,1033
sbert_153,1032
sbert_342,1031
sbert_27,1031
sbert_383,1030
sbert_243,1029
sbert_324,1028
sbert_378,1027
sbert_230,1026
sbert_65,1022
sbert_12,1022
sbert_64,1021
sbert_360,1021
sbert_11,1019
sbert_235,1018
sbert_60,1018
sbert_21,1017
sbert_76,1014
sbert_233,1014
sbert_375,1013
sbert_80,1011
sbert_206,1007
sbert_176,1004
sbert_329,1003
sbert_205,1002
sbert_88,1002
sbert_212,1001
sbert_303,1000
sbert_148,998
sbert_78,998
sbert_371,997
sbert_179,996
sbert_211,995
sbert_349,992
sbert_84,991
sbert_127,991
sbert_103,988
sbert_231,986
sbert_109,984
sbert_366,983
sbert_154,983
sbert_17,982
sbert_169,980
sbert_380,978
sbert_314,977
sbert_155,975
sbert_328,975
sbert_279,973
sbert_308,972
sbert_81,970
sbert_209,970
sbert_48,970
sbert_96,968
sbert_41,967
sbert_67,965
sbert_111,964
sbert_298,963
sbert_147,963
sbert_121,963
sbert_171,962
sbert_112,961
sbert_194,961
sbert_144,961
sbert_372,961
sbert_316,959
sbert_74,958
sbert_152,957
sbert_257,957
sbert_134,954
sbert_268,953
sbert_254,951
sbert_374,951
sbert_283,950
sbert_294,950
sbert_120,949
sbert_344,948
sbert_94,947
sbert_262,947
sbert_137,945
sbert_218,944
sbert_187,938
sbert_355,936
sbert_149,935
sbert_203,934
sbert_336,933
sbert_70,933
sbert_26,932
sbert_322,931
sbert_255,930
sbert_367,930
sbert_188,929
sbert_190,928
sbert_276,927
sbert_197,926
sbert_47,925
sbert_210,925
sbert_348,925
sbert_25,924
sbert_172,924
sbert_306,924
sbert_326,923
sbert_318,923
sbert_66,922
sbert_341,919
sbert_288,918
sbert_368,918
sbert_19,917
sbert_292,916
sbert_234,916
sbert_102,915
sbert_50,913
sbert_253,912
sbert_277,911
sbert_204,911
num_punctuation_chars,910
sbert_129,910
sbert_158,910
sbert_83,909
sbert_327,908
sbert_128,907
sbert_173,906
sbert_86,905
sbert_286,905
sbert_248,904
sbert_157,904
sbert_15,902
sbert_33,902
sbert_240,901
sbert_362,898
sbert_156,898
sbert_150,897
sbert_325,897
sbert_278,897
sbert_159,896
sbert_10,896
sbert_282,895
sbert_273,894
sbert_9,893
sbert_51,893
sbert_347,893
sbert_184,891
sbert_91,890
sbert_178,889
sbert_293,888
sbert_199,888
sbert_195,888
sbert_241,887
sbert_110,886
sbert_312,886
sbert_357,886
sbert_345,886
sbert_161,884
sbert_311,884
sbert_237,884
sbert_72,884
sbert_52,884
sbert_23,884
sbert_258,883
sbert_222,883
sbert_192,883
sbert_370,881
sbert_79,880
sbert_285,880
sbert_186,874
sbert_259,874
sbert_214,870
sbert_168,869
sbert_37,869
sbert_32,869
sbert_101,868
sbert_68,867
sbert_108,867
sbert_140,866
sbert_177,866
sbert_310,865
sbert_350,864
sbert_201,864
sbert_343,862
sbert_35,861
sbert_275,860
sbert_302,860
sbert_42,858
sbert_40,857
sbert_305,857
sbert_87,856
sbert_246,856
sbert_216,855
sbert_351,854
sbert_38,846
sbert_331,846
sbert_183,842
sbert_221,841
sbert_242,840
sbert_280,839
sbert_189,838
sbert_256,837
sbert_3,836
sbert_36,834
sbert_361,831
sbert_22,830
sbert_90,830
sbert_202,828
sbert_30,828
sbert_236,826
sbert_6,825
sbert_56,823
sbert_13,822
sbert_44,821
sbert_62,821
sbert_53,821
sbert_61,820
sbert_365,820
sbert_198,820
sbert_191,820
sbert_321,819
sbert_320,819
sbert_89,819
sbert_369,819
sbert_133,817
sbert_182,817
sbert_323,817
sbert_269,817
sbert_281,816
sbert_226,814
sbert_106,812
sbert_1,812
sbert_265,812
sbert_271,809
sbert_229,806
sbert_58,804
sbert_217,803
sbert_170,799
sbert_352,799
sbert_163,798
sbert_105,796
sbert_46,789
sbert_313,787
sbert_219,786
sbert_244,783
sbert_359,781
sbert_373,781
sbert_107,780
sbert_151,776
sbert_264,775
sbert_162,774
sbert_213,774
sbert_124,773
sbert_116,771
sbert_132,769
sbert_93,765
sbert_339,764
sbert_104,758
sbert_290,754
sbert_7,753
sbert_141,750
sbert_135,745
sbert_377,741
sbert_289,724
sbert_43,659
sbert_31,653
negative,515
joy,324
positive,305
category_music,286
disgust,276
sadness,275
trust,123
anticipation,111
surprise,82
anger,80
fear,61
category_movies,47
category_technology,30
category_gaming,0
