text_clean,sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
"all products can be found on  since i review 50 products per month, i made a custom website with a search bar ",1,24,9,116,1,0.0,0.0,0.0,1.0,19,5,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
bro how to talk to woman in 6 steps is so relatable,0,12,5,53,0,0.0,0.0,0.0,1.0,23,2,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i was gonna say does it give you the drinks for free?,0,12,7,54,1,0.0,0.0,0.0,1.0,16,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anyone gonna talk abt what was o. his pc,0,9,3,40,1,0.0,0.0,0.0,1.0,22,0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
how is everyone not talking about his search?!how to tell ur girlfriend u love men,-1,15,6,85,4,0.0,0.0,0.0,1.0,12,0,9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
when tech goes from wow to how?! ,0,8,3,36,2,0.0,0.0,0.0,1.0,11,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this is why l love this guy,1,7,4,27,0,0.0,0.0,0.0,1.0,23,6,9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
i have number 8,0,4,2,15,0,0.0,0.0,0.0,1.0,23,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imagine using that flashlight  in the middle of the forest it's like you are alien visiting earth  ,0,20,8,102,1,0.0,0.0,0.0,1.0,19,6,9,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
number 1 is a game changer,1,6,2,26,0,0.0,0.0,0.0,1.0,13,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
why did it get so quiet at the end?????,-1,9,6,39,5,0.0,0.0,0.0,1.0,11,6,9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
step 1. get money. step 2. get a house.,0,9,1,39,4,0.0,0.0,0.0,1.0,10,6,9,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
