sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
1,24,9,116,1,0.0,0.0,0.0,1.0,19,5,1,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
0,12,5,53,0,0.0,0.0,0.0,1.0,23,2,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,12,7,54,1,0.0,0.0,0.0,1.0,16,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,3,40,1,0.0,0.0,0.0,1.0,22,0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-1,15,6,85,4,0.0,0.0,0.0,1.0,12,0,9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
0,8,3,36,2,0.0,0.0,0.0,1.0,11,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,4,27,0,0.0,0.0,0.0,1.0,23,6,9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
0,4,2,15,0,0.0,0.0,0.0,1.0,23,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,8,102,1,0.0,0.0,0.0,1.0,19,6,9,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
1,6,2,26,0,0.0,0.0,0.0,1.0,13,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,9,6,39,5,0.0,0.0,0.0,1.0,11,6,9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
0,9,1,39,4,0.0,0.0,0.0,1.0,10,6,9,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
-1,15,8,74,0,0.0,0.0,0.0,1.0,3,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,4,35,0,0.0,0.0,0.0,1.0,1,5,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,5,2,23,0,0.0,0.0,0.0,1.0,20,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0,44,0,0.0,0.0,0.0,1.0,15,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,3,29,0,0.0,0.0,0.0,1.0,21,2,9,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
0,7,5,29,1,0.0,0.0,0.0,1.0,20,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,8,3,42,0,0.0,0.0,0.0,1.0,7,6,8,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
0,8,4,36,0,0.0,0.0,0.0,1.0,12,4,8,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
0,20,12,91,1,0.0,0.0,0.0,1.0,6,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,2,28,1,0.0,0.0,0.0,1.0,20,3,8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
